argv[0]=
argv[0]=
pybullet build time: Nov 28 2023 23:52:03
global_step=125000, episodic_return=-60.00358200073242
global_step=126000, episodic_return=-211.13194274902344
SPS: 533
global_step=127000, episodic_return=-753.34423828125
global_step=128000, episodic_return=-1181.8284912109375
global_step=129000, episodic_return=-1034.8927001953125
SPS: 536
global_step=130000, episodic_return=-1092.6494140625
global_step=131000, episodic_return=-71.7184829711914
SPS: 540
global_step=132000, episodic_return=-870.0762939453125
global_step=133000, episodic_return=-101.16930389404297
SPS: 543
global_step=134000, episodic_return=-985.9296264648438
global_step=135000, episodic_return=-24.014989852905273
SPS: 547
global_step=136000, episodic_return=26.797176361083984
global_step=137000, episodic_return=-664.389892578125
SPS: 550
global_step=138000, episodic_return=-890.138427734375
global_step=139000, episodic_return=-915.9378662109375
SPS: 553
global_step=140000, episodic_return=-721.356201171875
global_step=141000, episodic_return=-66.07585144042969
SPS: 556
global_step=142000, episodic_return=-100.35015106201172
global_step=143000, episodic_return=-645.17236328125
SPS: 559
global_step=144000, episodic_return=-524.3043823242188
global_step=145000, episodic_return=-138.63421630859375
SPS: 563
global_step=146000, episodic_return=-648.2880249023438
global_step=147000, episodic_return=-591.5531005859375
SPS: 566
global_step=148000, episodic_return=-568.5307006835938
global_step=149000, episodic_return=-246.57113647460938
SPS: 569
global_step=150000, episodic_return=-807.5973510742188
global_step=151000, episodic_return=-561.8045654296875
SPS: 572
global_step=152000, episodic_return=-573.3211059570312
global_step=153000, episodic_return=-517.4744262695312
SPS: 574
global_step=154000, episodic_return=28.466238021850586
global_step=155000, episodic_return=-439.5308532714844
SPS: 577
global_step=156000, episodic_return=-517.2598266601562
global_step=157000, episodic_return=-480.17193603515625
SPS: 580
global_step=158000, episodic_return=-357.8165283203125
global_step=159000, episodic_return=-427.3182373046875
SPS: 583
global_step=160000, episodic_return=-499.83544921875
global_step=161000, episodic_return=-472.7288818359375
SPS: 585
global_step=162000, episodic_return=-117.80860137939453
global_step=163000, episodic_return=58.61639404296875
SPS: 588
global_step=164000, episodic_return=10.85782241821289
global_step=165000, episodic_return=-75.36702728271484
SPS: 591
global_step=166000, episodic_return=-1.8884140253067017
global_step=167000, episodic_return=37.15848159790039
SPS: 594
global_step=168000, episodic_return=-185.04539489746094
global_step=169000, episodic_return=-159.22247314453125
SPS: 596
global_step=170000, episodic_return=47.13005065917969
global_step=171000, episodic_return=-24.95305061340332
global_step=172000, episodic_return=-65.9549789428711
SPS: 599
global_step=173000, episodic_return=-2.341374158859253
global_step=174000, episodic_return=2.513241767883301
SPS: 601
global_step=175000, episodic_return=274.7832946777344
global_step=176000, episodic_return=119.13912963867188
SPS: 604
global_step=177000, episodic_return=225.90753173828125
global_step=178000, episodic_return=378.3682861328125
SPS: 606
global_step=179000, episodic_return=142.8350372314453
global_step=180000, episodic_return=270.3176574707031
SPS: 609
global_step=181000, episodic_return=225.37606811523438
global_step=182000, episodic_return=430.8634033203125
SPS: 611
global_step=183000, episodic_return=317.6636047363281
global_step=184000, episodic_return=438.82806396484375
SPS: 613
global_step=185000, episodic_return=405.64971923828125
global_step=186000, episodic_return=355.85980224609375
SPS: 615
global_step=187000, episodic_return=251.6265411376953
global_step=188000, episodic_return=476.0470275878906
SPS: 618
global_step=189000, episodic_return=237.460693359375
global_step=190000, episodic_return=276.71868896484375
SPS: 620
global_step=191000, episodic_return=287.259033203125
global_step=192000, episodic_return=414.5419921875
SPS: 622
global_step=193000, episodic_return=282.27728271484375
global_step=194000, episodic_return=423.16943359375
SPS: 624
global_step=195000, episodic_return=415.6690673828125
global_step=196000, episodic_return=406.8394775390625
SPS: 627
global_step=197000, episodic_return=404.410400390625
global_step=198000, episodic_return=512.09716796875
SPS: 629
global_step=199000, episodic_return=398.34271240234375
global_step=200000, episodic_return=511.1436767578125
SPS: 631
global_step=201000, episodic_return=484.01544189453125
global_step=202000, episodic_return=517.2953491210938
SPS: 633
global_step=203000, episodic_return=413.0202941894531
global_step=204000, episodic_return=508.37298583984375
SPS: 635
global_step=205000, episodic_return=519.3142700195312
global_step=206000, episodic_return=497.61505126953125
SPS: 637
global_step=207000, episodic_return=494.64495849609375
global_step=208000, episodic_return=504.3497314453125
SPS: 638
global_step=209000, episodic_return=515.606201171875
global_step=210000, episodic_return=523.3921508789062
SPS: 640
global_step=211000, episodic_return=516.6600952148438
global_step=212000, episodic_return=541.2262573242188
SPS: 642
global_step=213000, episodic_return=541.8433227539062
global_step=214000, episodic_return=541.1095581054688
global_step=215000, episodic_return=551.88525390625
SPS: 644
global_step=216000, episodic_return=534.3193359375
global_step=217000, episodic_return=573.9692993164062
SPS: 618
global_step=218000, episodic_return=540.2442016601562
global_step=219000, episodic_return=534.9172973632812
SPS: 620
global_step=220000, episodic_return=541.666015625
global_step=221000, episodic_return=536.5707397460938
SPS: 622
global_step=222000, episodic_return=536.8013916015625
global_step=223000, episodic_return=550.554443359375
SPS: 624
global_step=224000, episodic_return=558.0144653320312
global_step=225000, episodic_return=506.52020263671875
SPS: 625
global_step=226000, episodic_return=546.5177001953125
global_step=227000, episodic_return=549.6408081054688
SPS: 627
global_step=228000, episodic_return=561.6287841796875
global_step=229000, episodic_return=566.7367553710938
SPS: 629
global_step=230000, episodic_return=552.1643676757812
global_step=231000, episodic_return=543.201416015625
SPS: 631
global_step=232000, episodic_return=559.4070434570312
global_step=233000, episodic_return=571.117431640625
SPS: 633
global_step=234000, episodic_return=520.470703125
global_step=235000, episodic_return=540.6881103515625
SPS: 634
global_step=236000, episodic_return=552.1655883789062
global_step=237000, episodic_return=556.2542114257812
SPS: 636
global_step=238000, episodic_return=564.7882690429688
global_step=239000, episodic_return=562.001708984375
SPS: 638
global_step=240000, episodic_return=562.2645263671875
global_step=241000, episodic_return=572.427734375
SPS: 639
global_step=242000, episodic_return=591.5463256835938
global_step=243000, episodic_return=581.9337158203125
SPS: 641
global_step=244000, episodic_return=580.8392944335938
global_step=245000, episodic_return=576.9498291015625
SPS: 643
global_step=246000, episodic_return=584.1787719726562
global_step=247000, episodic_return=586.7994384765625
SPS: 644
global_step=248000, episodic_return=595.0538940429688
global_step=249000, episodic_return=601.480224609375
SPS: 646
global_step=250000, episodic_return=602.042236328125
global_step=251000, episodic_return=601.5830078125
SPS: 648
global_step=252000, episodic_return=600.3018188476562
global_step=253000, episodic_return=598.0034790039062
SPS: 649
global_step=254000, episodic_return=567.9400634765625
global_step=255000, episodic_return=572.1064453125
global_step=256000, episodic_return=582.760009765625
SPS: 651
global_step=257000, episodic_return=575.2926635742188
global_step=258000, episodic_return=606.25341796875
SPS: 653
global_step=259000, episodic_return=589.2711181640625
global_step=260000, episodic_return=595.6890869140625
SPS: 654
global_step=261000, episodic_return=601.9169921875
global_step=262000, episodic_return=577.988525390625
SPS: 656
global_step=263000, episodic_return=600.5054321289062
global_step=264000, episodic_return=605.1273803710938
SPS: 657
global_step=265000, episodic_return=585.975341796875
global_step=266000, episodic_return=616.5253295898438
SPS: 659
global_step=267000, episodic_return=620.9120483398438
global_step=268000, episodic_return=583.6071166992188
SPS: 660
global_step=269000, episodic_return=615.415283203125
global_step=270000, episodic_return=605.556884765625
SPS: 662
global_step=271000, episodic_return=615.81494140625
global_step=272000, episodic_return=618.4088134765625
SPS: 663
